t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7
0,-5.0,4.5,1.2,1.0,2.2390121357287494e-27,2.6594389220799975e-28,-9.117076293280227e-29,0.0,0.0,0.0,1.831696217586957e-25,4.968721747895432e-26,3.516008691743697e-26,0.060606041113738775,-0.23523445125288078,3.421341691024232,189.718986456266,48.834146382388624,9.528669752370758,3.1269351762153255,2.3323479845826225,2.65632470093398,3.126937120986077,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0237193,-4.99999150069163,4.499966900862437,1.2009633726581976,0.9996194901614206,0.026685089162131945,0.006851018886942142,0.0013401668864339849,0.001437532009571465,-0.005579593176122137,0.08115178134302807,4.499998858901099,1.1583110741887483,0.22601324102265483,0.40642072261446893,-1.5807181966374542,4.916823799817938,3.1826152364245326,-2.6615938273825117,-0.6578358805350943,3.153913187782378,3.153913756437962,3.131548379468248,3.1539142307508574,0.9998281121105227,0.00017188788947735138,0.059564220598073314,0.9999515220328625,4.847796713752088e-05,0.04920503557950888,0.9999649450184989,3.5054981501178475e-05,0.045084944505143935,0.9999710782101654,2.892178983459002e-05,0.04499565373920236,0.9999772244043604,2.277559563951949e-05,0.04499392931399992,0.999983441504523,1.6558495476940804e-05,0.04499395685617864,0.9999898755185296,1.0124481470371903e-05,0.044900651462112764,0.999997068659935,2.931340065007647e-06,0.04499215454551783
0.0474386,-4.9998619021172415,4.4994640486704975,1.2042798418346667,0.9965494663160238,0.08041105354643177,0.02019754946942765,0.003902982647660273,0.01107754127886232,-0.043073099830251815,0.19777533021328783,4.575488219242654,1.0951799695492004,0.21040984377156038,0.8046336244746517,-3.1889398841138994,4.767274587601777,3.1826062099468415,-2.679239071988773,-0.6536697184522852,3.180890889093982,3.180891508700284,3.158667124939007,3.180891275760083,0.9996561562538226,0.00017195585670009238,0.059555948493425555,0.9999030442260224,4.847780684008377e-05,0.04918962982613516,0.9999301043000182,3.4840718480741636e-05,0.045073071642232565,0.9999420260732621,2.9052136903320764e-05,0.0449956811642532,0.9999539857204103,2.323868395018706e-05,0.044994012934945316,0.9999661343311287,1.730717339437147e-05,0.044994077840872254,0.9999788362019124,1.1039316617236895e-05,0.04490076280283674,0.9999933864482409,3.6822116940533173e-06,0.04499223665528446
0.0711579,-4.999390768744325,4.497619870956709,1.2103292955160354,0.9903152438149356,0.1347764936436071,0.032751048227652034,0.006191371877426979,0.030162876171287892,-0.11871247629785045,0.3108516785798309,4.650977365482605,1.031630332310062,0.1949052649095414,1.184652887678672,-4.808394704647345,4.4233488883022565,3.182589735959433,-2.6994957934422246,-0.6497662453258297,3.207868411998391,3.2078689484564946,3.1857768200940026,3.207868335976977,0.9994840370156978,0.00017211923812483773,0.059569536393173646,0.9998545657902875,4.847843573485829e-05,0.04918211086278827,0.9998954001244427,3.4704175575470726e-05,0.04506679651566537,0.9999128686955321,2.9157377729969867e-05,0.04499569901332929,0.9999304100566996,2.3575663710681667e-05,0.04499407186715903,0.9999482942442731,1.784008685552721e-05,0.04499416406332108,0.9999671523095084,1.168389240411258e-05,0.04490089376985284,0.9999891704612693,4.215986971588132e-06,0.04499229448407374
0.0948771,-4.9983588943953485,4.4935254072288915,1.2189731735385922,0.980820405452286,0.18959517733020356,0.044481146342847215,0.008147218784647697,0.058261996572064455,-0.232764164472176,0.41577035499533094,4.726466120971341,0.9676002201056695,0.17949327364216916,1.5400233916675246,-6.416554714925478,3.8792325642709637,3.1820276281299225,-2.7218449210739517,-0.6460262612631726,3.2348458490042145,3.2348463033362,3.21288111732598,3.2348455558769427,0.9993116227535768,0.00017241426212090812,0.05960407992421284,0.9998060854559027,4.8480334384876115e-05,0.049177381028900236,0.9998607975099119,3.4602614530831894e-05,0.04506244611740797,0.9998836108293822,2.9257866149957497e-05,0.04499571012513314,0.9999065415162942,2.386854040546196e-05,0.04499411889426781,0.9999300004259193,1.8293818353874343e-05,0.04499423583602049,0.9999549249599426,1.2227349565728779e-05,0.044901094516391425,0.9999845079794264,4.662481842901653e-06,0.04499234087814464
0.118596,-4.996559117589538,4.486271640899165,1.2299618043023957,0.9679766475236985,0.24466735719523666,0.055359667770183356,0.009713333344785196,0.09479025151708224,-0.3849602595208772,0.5077829808199761,4.801941543663825,0.9030400025558988,0.16416999212561642,1.8720585374036902,-7.9984260193925225,3.1555389834097207,-0.10493180653539787,0.5512522482149804,-3.5144910049447015e-07,3.261822379931532,3.2618237325542547,3.2618222620412625,3.2618209213678093,0.9991387466366138,0.00017287611696296585,0.059662919453465156,0.9997576015084657,4.848394743691375e-05,0.04917422308725137,0.9998262717866863,3.4525723225519415e-05,0.04505909087635856,0.9998542500812707,2.9360748111337903e-05,0.044995714359179234,0.9998824002186936,2.414129760062785e-05,0.04499415644963217,0.9999112929038569,1.870752206224278e-05,0.04499429830274017,0.9999422065287399,1.2718431202756889e-05,0.044901403587273674,0.9999794466366929,5.061342733442147e-06,0.04499237914882644
0.142316,-4.993798476587273,4.474959595475228,1.24293832700152,0.951812099176418,0.2993397356357223,0.06577885284996232,0.0110697791144545,0.13919414297501298,-0.5746772121178609,0.5826301117782423,4.7994526361565075,0.9161153121718181,0.16416998378949477,2.1882474459509194,-9.488308617854239,2.2174380553022437,-0.11146490160924098,0.5471942786684277,0.0007886808199102606,3.288796391586682,3.288801097268613,3.2888003921652675,3.288768871335459,0.9989652076404069,0.00017353899620695514,0.0597501279533932,0.9997091118791307,4.848962933506211e-05,0.04917218073037354,0.9997918012596394,3.447052704695705e-05,0.04505635658699149,0.9998247797973091,2.9470283961597712e-05,0.044995710947819914,0.9998579951076491,2.4405111044517874e-05,0.044994184659539936,0.9998921942012321,1.9098702624868822e-05,0.04499435323628734,0.9999290278230615,1.3178705678397334e-05,0.0449018566756039,0.9999740162925723,5.4303441206761155e-06,0.04499241030009269
0.166035,-4.989895039844802,4.458723410811292,1.2574345574402064,0.9324477360803616,0.3529754664845093,0.07612357382977251,0.012437342140447229,0.19109780951732996,-0.7997331158562468,0.6352261587260485,4.796808768300062,0.9290943696483493,0.16418869073525663,2.415451957978745,-10.685480131651751,0.9757562165498114,-29.30624600740643,-28.482310670131934,5.7253845150972245,3.3157245192462326,3.315778420365924,3.315777880564009,3.1210609059310115,0.9987907718661662,0.00017443577424068826,0.059869873074255335,0.9996606142062328,4.84976728979642e-05,0.04917104559362371,0.9997573646417706,3.4436617868796335e-05,0.045054055686446166,0.9997951901713986,2.9589625910451453e-05,0.04499569893117946,0.999833328542267,2.46665653819651e-05,0.0449942028327636,0.9998727171058385,1.9477095393621208e-05,0.04499440121490699,0.9999154079088455,1.3619914215952585e-05,0.04490248668515299,0.9999682371441406,5.779148431696888e-06,0.04499243449716715
0.189754,-4.984690103357058,4.436801937299223,1.2728306267611462,0.9119405121115844,0.4017748584757438,0.08223418263746023,0.013378383363346406,0.24839060481244093,-1.0531850728659777,0.6583703992844493,4.1016855439178554,0.25351430300063865,0.29999072228704704,2.3164509129084614,-10.709445567697138,-0.6737338650341522,-187.29077273698257,0.3944901384727295,5.395023058237636e-05,2.718636075929342,3.342755714085358,3.3427552959517848,2.718633823487929,0.9986151768900875,0.00017559497607862976,0.06002582314731529,0.9996121059131909,4.8508293041772363e-05,0.04917070676711362,0.9997229401385667,3.442450320389267e-05,0.045052080485926946,0.9997654689625662,2.9721208832372807e-05,0.04499567739248927,0.9998083984376802,2.4930104586791467e-05,0.04499421001567835,0.999852868217944,1.98488878945615e-05,0.0449944423498512,0.9999013585958133,1.404931303219716e-05,0.04490332088549037,0.9999621234750863,6.1136690543003056e-06,0.044992451591937675
0.213474,-4.978149623207597,4.408827837772549,1.2882801122130525,0.9024450881236598,0.4222606619689161,0.0838544178702132,0.016036857132793163,0.30333516602635735,-1.3072054729022697,0.6423899131955907,-0.3407178198246067,0.26287132733507046,0.2999920019479845,2.665803735404306,-11.996068802208319,0.22058738423362756,-0.11855801853810256,-0.07190223942310388,-6.965006884542359e-06,3.3695210940549405,3.369732996963748,3.3697326851849008,3.3695210190863274,0.998438150293029,0.00017702659705850913,0.0602191316901103,0.9995635846637098,4.852124948111927e-05,0.04917103179468169,0.9996885061321782,3.4434006388562615e-05,0.04505036035727119,0.9997356026035326,2.9866359033746654e-05,0.04499564599446987,0.9997831997333476,2.519870433257899e-05,0.04499420567783906,0.9998326499877139,2.0218230229916178e-05,0.04499447688833145,0.9998868867875834,1.4471808229889617e-05,0.044904371577715985,0.9999556856552951,6.43781979109317e-06,0.04499246164416552
